Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M6,GO:0035519,protein K29-linked ubiquitination,2/31,11/18805,0.18181818181818182,110.29325513196481,14.733558563175635,1.4331859042122897e-4,8.677289201867136e-4,5.266443896818367e-4,27338/29089,2
M6,GO:0051256,mitotic spindle midzone assembly,2/31,11/18805,0.18181818181818182,110.29325513196481,14.733558563175635,1.4331859042122897e-4,8.677289201867136e-4,5.266443896818367e-4,9212/332,2
M6,GO:0006302,double-strand break repair,5/31,323/18805,0.015479876160990712,9.390292619594526,6.180611521732475,1.7062642633297137e-4,0.001012588858279394,6.145631761961235e-4,2237/51659/3148/4172/4176,5
M6,GO:0000022,mitotic spindle elongation,2/31,12/18805,0.16666666666666666,101.1021505376344,14.09494985922106,1.7180561709545275e-4,0.001012588858279394,6.145631761961235e-4,9212/332,2
M6,GO:0044314,protein K27-linked ubiquitination,2/31,12/18805,0.16666666666666666,101.1021505376344,14.09494985922106,1.7180561709545275e-4,0.001012588858279394,6.145631761961235e-4,27338/29089,2
M6,GO:0010992,ubiquitin recycling,2/31,13/18805,0.15384615384615385,93.32506203473946,13.531076325899411,2.0283441806187444e-4,0.0011746758472105077,7.129374511282361e-4,11065/27338,2
M6,GO:1903490,positive regulation of mitotic cytokinesis,2/31,13/18805,0.15384615384615385,93.32506203473946,13.531076325899411,2.0283441806187444e-4,0.0011746758472105077,7.129374511282361e-4,9212/332,2
M6,GO:0006287,"base-excision repair, gap-filling",2/31,14/18805,0.14285714285714285,86.6589861751152,13.028354373319054,2.363970781607141e-4,0.0013342411360596238,8.097812490072635e-4,2237/5111,2
M6,GO:0051231,spindle elongation,2/31,14/18805,0.14285714285714285,86.6589861751152,13.028354373319054,2.363970781607141e-4,0.0013342411360596238,8.097812490072635e-4,9212/332,2
M6,GO:0051255,spindle midzone assembly,2/31,14/18805,0.14285714285714285,86.6589861751152,13.028354373319054,2.363970781607141e-4,0.0013342411360596238,8.097812490072635e-4,9212/332,2
M6,GO:0000724,double-strand break repair via homologous recombination,4/31,188/18805,0.02127659574468085,12.90665751544269,6.667169530759881,2.4645498069048586e-4,0.0013793194717635594,8.371403147735213e-4,2237/51659/4172/4176,4
M6,GO:0090307,mitotic spindle assembly,3/31,75/18805,0.04,24.26451612903226,8.20320053904804,2.527500591218959e-4,0.001402762828126522,8.513686202000704e-4,9212/332/991,3
M6,GO:0000725,recombinational repair,4/31,194/18805,0.020618556701030927,12.507482540738277,6.546721955257957,2.778143656618559e-4,0.0015291270043867441,9.280619087790576e-4,2237/51659/4172/4176,4
M6,GO:0085020,protein K6-linked ubiquitination,2/31,16/18805,0.125,75.82661290322581,12.167232486377081,3.1109240380026564e-4,0.0016844515522843654,0.001022331904658126,27338/29089,2
M6,GO:1902412,regulation of mitotic cytokinesis,2/31,16/18805,0.125,75.82661290322581,12.167232486377081,3.1109240380026564e-4,0.0016844515522843654,0.001022331904658126,9212/332,2
M6,GO:0031396,regulation of protein ubiquitination,4/31,201/18805,0.01990049751243781,12.071898571657838,6.412753159360687,3.1791748113155617e-4,0.0017075245357549712,0.0010363354223643258,991/4085/11065/27338,4
M6,GO:0007051,spindle organization,4/31,206/18805,0.019417475728155338,11.778891324772939,6.321068077452467,3.489987997834695e-4,0.0018325891576847983,0.001112239981904477,9212/332/891/991,4
M6,GO:0044771,meiotic cell cycle phase transition,2/31,17/18805,0.11764705882352941,71.36622390891841,11.794403795224792,3.5220932760308434e-4,0.0018325891576847983,0.001112239981904477,991/11130,2
M6,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,2/31,17/18805,0.11764705882352941,71.36622390891841,11.794403795224792,3.5220932760308434e-4,0.0018325891576847983,0.001112239981904477,991/11065,2
M6,GO:0051382,kinetochore assembly,2/31,17/18805,0.11764705882352941,71.36622390891841,11.794403795224792,3.5220932760308434e-4,0.0018325891576847983,0.001112239981904477,1063/387103,2
M6,GO:1902101,positive regulation of metaphase/anaphase transition of cell cycle,2/31,18/18805,0.1111111111111111,67.40143369175627,11.45282310127819,3.9582862699461837e-4,0.002043580353321053,0.0012402953306073724,991/11065,2
M6,GO:0007096,regulation of exit from mitosis,2/31,20/18805,0.1,60.66129032258065,10.84749856526711,4.90543062990334e-4,0.002513089845781249,0.001525251305168326,332/11065,2
M6,GO:0045132,meiotic chromosome segregation,3/31,96/18805,0.03125,18.956653225806452,7.1674271290397735,5.22436946812239e-4,0.0026560534853202382,0.0016120191850212918,9232/10051/11130,3
M6,GO:0140694,membraneless organelle assembly,5/31,427/18805,0.0117096018735363,7.103195588124199,5.183817020028015,6.154475434876706e-4,0.003105212605778702,0.001884624056612963,9212/332/991/1063/387103,5
M6,GO:0065004,protein-DNA complex assembly,4/31,242/18805,0.01652892561983471,10.026659557451346,5.742992185241593,6.405724692202042e-4,0.00320767868045606,0.001946813044563185,1063/387103/51053/3148,4
M6,GO:1903320,regulation of protein modification by small protein conjugation or removal,4/31,243/18805,0.01646090534979424,9.985397583963893,5.7286938362955775,6.505461443737813e-4,0.003233311433977152,0.001962370144850998,991/4085/11065/27338,4
M6,GO:1901873,regulation of post-translational protein modification,4/31,248/18805,0.016129032258064516,9.784079084287201,5.658427491311231,7.020780529286768e-4,0.003463585061114806,0.0021021284391782606,991/4085/11065/27338,4
M6,GO:0031398,positive regulation of protein ubiquitination,3/31,110/18805,0.02727272727272727,16.54398826979472,6.643908291742294,7.769303983600755e-4,0.003804673862557429,0.002309142979646045,991/11065/27338,3
M6,GO:0071824,protein-DNA complex organization,4/31,262/18805,0.015267175572519083,9.261265698103914,5.471857742285537,8.617310298626713e-4,0.004189145006485687,0.0025424872490761876,1063/387103/51053/3148,4
M6,GO:0051347,positive regulation of transferase activity,4/31,263/18805,0.015209125475285171,9.22605176008831,5.459069019202124,8.740358898313555e-4,0.004218173207446977,0.00256010512353349,991/5111/11065/27338,4
M6,GO:0010971,positive regulation of G2/M transition of mitotic cell cycle,2/31,28/18805,0.07142857142857142,43.3294930875576,9.108283537950173,9.679390586946337e-4,0.004637751173313857,0.002814756520550847,891/983,2
M6,GO:0034508,centromere complex assembly,2/31,30/18805,0.06666666666666667,40.44086021505377,8.785057216584413,0.0011116140911168297,0.005288107033455776,0.0032094722630741554,1063/387103,2
M6,GO:1902751,positive regulation of cell cycle G2/M phase transition,2/31,31/18805,0.06451612903225806,39.136316337148806,8.635127271375966,0.0011870583992514671,0.005606956694336717,0.003402989364035561,891/983,2
M6,GO:0007127,meiosis I,3/31,130/18805,0.023076923076923078,13.99875930521092,6.043253808672857,0.0012595451500327743,0.005907444154379069,0.0035853620282623087,1164/9232/11130,3
M6,GO:0034502,protein localization to chromosome,3/31,131/18805,0.022900763358778626,13.891898547155872,6.016742304550214,0.0012876321887295785,0.005996944319537758,0.003639681711241503,9212/9184/983,3
M6,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,3/31,133/18805,0.022556390977443608,13.682997817123454,5.964580169077955,0.0013449864357453734,0.0061782872278431725,0.0037497428409858993,991/11065/27338,3
M6,GO:0040020,regulation of meiotic nuclear division,2/31,33/18805,0.06060606060606061,36.764418377321604,8.355653563523909,0.0013451225946505406,0.0061782872278431725,0.0037497428409858993,991/11130,2
M6,GO:1901875,positive regulation of post-translational protein modification,3/31,134/18805,0.022388059701492536,13.580885893115068,5.938918896823924,0.001374257824904634,0.006268874735523879,0.003804722456837631,991/11065/27338,3
M6,GO:0051225,spindle assembly,3/31,136/18805,0.022058823529411766,13.381166982922203,5.888410367077094,0.0014339994947523704,0.006496895670102577,0.003943113540887292,9212/332/991,3
M6,GO:0009411,response to UV,3/31,157/18805,0.01910828025477707,11.591329361002671,5.415165459500855,0.0021616497249752906,0.009727423762388807,0.005903794412450296,9212/2237/5111,3
M6,GO:0000723,telomere maintenance,3/31,162/18805,0.018518518518518517,11.233572281959377,5.31562616313077,0.002363070099030437,0.010562447556740075,0.006410589318457703,9212/2237/5111,3
M6,GO:0045740,positive regulation of DNA replication,2/31,44/18805,0.045454545454545456,27.573313782991203,7.170866275480752,0.002382980236303337,0.010580432249186818,0.0064215046367753085,983/5111,2
M6,GO:0006284,base-excision repair,2/31,45/18805,0.044444444444444446,26.96057347670251,7.084866694871189,0.002491262039862995,0.010987950453965263,0.0066688366908845605,2237/5111,2
M6,GO:0030261,chromosome condensation,2/31,47/18805,0.0425531914893617,25.81331503088538,6.920986689734355,0.002714687577472967,0.011816875337235267,0.007171930029237148,983/10051,2
M6,GO:0045840,positive regulation of mitotic nuclear division,2/31,47/18805,0.0425531914893617,25.81331503088538,6.920986689734355,0.002714687577472967,0.011816875337235267,0.007171930029237148,991/11065,2
M6,GO:0032467,positive regulation of cytokinesis,2/31,51/18805,0.0392156862745098,23.788741302972802,6.621952054324462,0.0031887812329013023,0.013790443513716022,0.00836973337959057,9212/332,2
M6,GO:0032200,telomere organization,3/31,189/18805,0.015873015873015872,9.628776241679468,4.844673185658231,0.003651330390190666,0.01568894219269022,0.00952197534691488,9212/2237/5111,3
M6,GO:0007062,sister chromatid cohesion,2/31,62/18805,0.03225806451612903,19.568158168574403,5.950763362144509,0.004676441162498055,0.019837642128813407,0.01203991556419211,991/2237,2
M6,GO:0051785,positive regulation of nuclear division,2/31,62/18805,0.03225806451612903,19.568158168574403,5.950763362144509,0.004676441162498055,0.019837642128813407,0.01203991556419211,991/11065,2
M6,GO:0031100,animal organ regeneration,2/31,66/18805,0.030303030303030304,18.382209188660802,5.7481923951266145,0.005282920448323234,0.022268512775843508,0.013515266170260642,983/5111,2
M6,GO:0045143,homologous chromosome segregation,2/31,67/18805,0.029850746268656716,18.107847857486757,5.700313284759534,0.00543990514208928,0.022502961643673665,0.013657558512993028,9232/11130,2
M6,GO:0070301,cellular response to hydrogen peroxide,2/31,67/18805,0.029850746268656716,18.107847857486757,5.700313284759534,0.00543990514208928,0.022502961643673665,0.013657558512993028,983/5111,2
M6,GO:0070534,protein K63-linked ubiquitination,2/31,67/18805,0.029850746268656716,18.107847857486757,5.700313284759534,0.00543990514208928,0.022502961643673665,0.013657558512993028,27338/29089,2
M6,GO:0051445,regulation of meiotic cell cycle,2/31,68/18805,0.029411764705882353,17.841555977229604,5.653458421516801,0.005599021752145834,0.023018200536599538,0.013970268699311245,991/11130,2
M6,GO:0009410,response to xenobiotic stimulus,4/31,453/18805,0.008830022075055188,5.356405326497187,3.8138467895358605,0.006246974391433086,0.025524447513462795,0.015491366911916729,983/1063/4176/5111,4
M6,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,2/31,73/18805,0.0273972602739726,16.619531595227574,5.433315482713543,0.006426339513874483,0.02609720802585613,0.01583898827553146,9212/983,2
M6,GO:1902750,negative regulation of cell cycle G2/M phase transition,2/31,75/18805,0.02666666666666667,16.176344086021505,5.351265132562583,0.00677194666751177,0.027334039276138415,0.016589649252469026,9212/983,2
M6,GO:0032481,positive regulation of type I interferon production,2/31,76/18805,0.02631578947368421,15.963497453310696,5.311414279003217,0.006947868365284533,0.0278751827185512,0.01691808149821979,3148/3838,2
M6,GO:0000082,G1/S transition of mitotic cell cycle,3/31,240/18805,0.0125,7.582661290322581,4.170491252458803,0.007089381737836206,0.028272624176041396,0.017159297745534846,891/983/1033,3
M6,GO:0000209,protein polyubiquitination,3/31,264/18805,0.011363636363636364,6.893328445747801,3.918533768129483,0.009198968531261347,0.0364673395346432,0.022132856616568657,11065/27338/29089,3
M6,GO:0034644,cellular response to UV,2/31,91/18805,0.02197802197802198,13.332151719248495,4.791856502030335,0.009831239785931393,0.03869224186887466,0.023483200375609085,9212/5111,2
M6,GO:0044843,cell cycle G1/S phase transition,3/31,271/18805,0.01107011070110701,6.715271991429591,3.8509203046310008,0.009876398074637676,0.03869224186887466,0.023483200375609085,891/983/1033,3
M6,GO:0032465,regulation of cytokinesis,2/31,95/18805,0.021052631578947368,12.770797962648556,4.673673566183097,0.010675874635831285,0.041579722265869215,0.025235677809536557,9212/332,2
M6,GO:0000281,mitotic cytokinesis,2/31,98/18805,0.02040816326530612,12.3798551678736,4.5896044814631125,0.011329766730751924,0.04386991071326036,0.026625645193443938,9212/332,2
M6,GO:0042542,response to hydrogen peroxide,2/31,99/18805,0.020202020202020204,12.25480612577387,4.562393207401665,0.011551584586609435,0.04421468583150508,0.026834897043303226,983/5111,2
M6,GO:0051781,positive regulation of cell division,2/31,99/18805,0.020202020202020204,12.25480612577387,4.562393207401665,0.011551584586609435,0.04421468583150508,0.026834897043303226,9212/332,2
M6,GO:0070936,protein K48-linked ubiquitination,2/31,100/18805,0.02,12.13225806451613,4.535571008411828,0.011775318495674508,0.04481349781782413,0.027198329638129393,11065/29089,2
M6,GO:0042773,ATP synthesis coupled electron transport,2/31,101/18805,0.019801980198019802,12.012136697540722,4.509128326623891,0.012000961965156775,0.0451561619705899,0.027406300295094867,891/983,2
M6,GO:0042775,mitochondrial ATP synthesis coupled electron transport,2/31,101/18805,0.019801980198019802,12.012136697540722,4.509128326623891,0.012000961965156775,0.0451561619705899,0.027406300295094867,891/983,2
M6,GO:0051054,positive regulation of DNA metabolic process,3/31,293/18805,0.010238907849829351,6.211053616646483,3.6530889108901183,0.012192354036077819,0.04561858307880802,0.027686954168266605,9212/983/5111,3
M7,GO:0016126,sterol biosynthetic process,4/21,74/18805,0.05405405405405406,48.40411840411841,13.661304797496847,1.2567400817537625e-6,3.235545408824692e-4,2.1114355058297042e-4,2222/3422/6307/6713,4
M7,GO:0019646,aerobic electron transport chain,4/21,93/18805,0.043010752688172046,38.51510496671787,12.126298781068911,3.1454088046304286e-6,3.235545408824692e-4,2.1114355058297042e-4,54205/4537/4540/4726,4
M7,GO:0006754,ATP biosynthetic process,4/21,100/18805,0.04,35.81904761904762,11.67289988074328,4.202935808018844e-6,3.235545408824692e-4,2.1114355058297042e-4,4537/4540/4726/142,4
M7,GO:0042773,ATP synthesis coupled electron transport,4/21,101/18805,0.039603960396039604,35.464403583215464,11.611944090806912,4.373082925006127e-6,3.235545408824692e-4,2.1114355058297042e-4,54205/4537/4540/4726,4
M7,GO:0042775,mitochondrial ATP synthesis coupled electron transport,4/21,101/18805,0.039603960396039604,35.464403583215464,11.611944090806912,4.373082925006127e-6,3.235545408824692e-4,2.1114355058297042e-4,54205/4537/4540/4726,4
M7,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,4/21,111/18805,0.036036036036036036,32.26941226941227,11.047673163465713,6.368305905221195e-6,3.235545408824692e-4,2.1114355058297042e-4,4537/4540/4726/142,4
M7,GO:0009145,purine nucleoside triphosphate biosynthetic process,4/21,112/18805,0.03571428571428571,31.9812925170068,10.995368006462947,6.59938482763084e-6,3.235545408824692e-4,2.1114355058297042e-4,4537/4540/4726/142,4
M7,GO:0009201,ribonucleoside triphosphate biosynthetic process,4/21,117/18805,0.03418803418803419,30.61457061457062,10.743794358482884,7.849031989062595e-6,3.235545408824692e-4,2.1114355058297042e-4,4537/4540/4726/142,4
M7,GO:0022904,respiratory electron transport chain,4/21,117/18805,0.03418803418803419,30.61457061457062,10.743794358482884,7.849031989062595e-6,3.235545408824692e-4,2.1114355058297042e-4,54205/4537/4540/4726,4
M7,GO:0009142,nucleoside triphosphate biosynthetic process,4/21,125/18805,0.032,28.655238095238094,10.372530039288124,1.0201124282513715e-5,3.663608061460257e-4,2.3907784200194614e-4,4537/4540/4726/142,4
M7,GO:0022900,electron transport chain,4/21,127/18805,0.031496062992125984,28.203974503187098,10.285129468161506,1.0862449777914508e-5,3.663608061460257e-4,2.3907784200194614e-4,54205/4537/4540/4726,4
M7,GO:0008203,cholesterol metabolic process,4/21,150/18805,0.02666666666666667,23.87936507936508,9.4066005021233,2.094290980603787e-5,6.034502476430883e-4,3.937964447663791e-4,2222/3422/6307/6713,4
M7,GO:0006119,oxidative phosphorylation,4/21,151/18805,0.026490066225165563,23.721223588773256,9.37292046257792,2.1497192391953237e-5,6.034502476430883e-4,3.937964447663791e-4,54205/4537/4540/4726,4
M7,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",3/21,51/18805,0.058823529411764705,52.675070028011206,12.355488900492382,2.4147159758368394e-5,6.034502476430883e-4,3.937964447663791e-4,4537/4540/4726,3
M7,GO:0009152,purine ribonucleotide biosynthetic process,4/21,157/18805,0.025477707006369428,22.814680012132243,9.17747630157424,2.5052598998213884e-5,6.034502476430883e-4,3.937964447663791e-4,4537/4540/4726/142,4
M7,GO:0016125,sterol metabolic process,4/21,161/18805,0.024844720496894408,22.24785566400473,9.053139808567499,2.7651359056421836e-5,6.034502476430883e-4,3.937964447663791e-4,2222/3422/6307/6713,4
M7,GO:1902652,secondary alcohol metabolic process,4/21,161/18805,0.024844720496894408,22.24785566400473,9.053139808567499,2.7651359056421836e-5,6.034502476430883e-4,3.937964447663791e-4,2222/3422/6307/6713,4
M7,GO:0006694,steroid biosynthetic process,4/21,169/18805,0.023668639053254437,21.19470273316427,8.817494449989185,3.3436233614452994e-5,6.891579261645589e-4,4.4972711879088823e-4,2222/3422/6307/6713,4
