Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M2,GO:0038109,Kit signaling pathway,3/102,52/18805,0.057692307692307696,10.63631221719457,5.138622663000204,0.002823693234752165,0.03519027693809886,0.029444432743961725,2321/4916/7010,3
M2,GO:1905562,regulation of vascular endothelial cell proliferation,3/102,52/18805,0.057692307692307696,10.63631221719457,5.138622663000204,0.002823693234752165,0.03519027693809886,0.029444432743961725,8854/2321/4208,3
M2,GO:0003198,epithelial to mesenchymal transition involved in endocardial cushion formation,2/102,15/18805,0.13333333333333333,24.58169934640523,6.747251642928509,0.002921347397015964,0.03618115968726603,0.030273524839949675,7042/55273,2
M2,GO:0060537,muscle tissue development,8/102,446/18805,0.017937219730941704,3.3069550690231253,3.641259450440661,0.0029531593078402593,0.03634938061625603,0.030414278771454268,70/8854/653/1281/54567/84525/4208/7042,8
M2,GO:0101023,vascular endothelial cell proliferation,3/102,53/18805,0.05660377358490566,10.435627081021089,5.079891963311307,0.002981427330172414,0.03642021914903426,0.030473550837364364,8854/2321/4208,3
M2,GO:0038127,ERBB signaling pathway,5/102,180/18805,0.027777777777777776,5.121187363834422,4.102797116304532,0.0029954443031302,0.03642021914903426,0.030473550837364364,84632/1012/2321/4916/7010,5
M2,GO:0042060,wound healing,8/102,450/18805,0.017777777777777778,3.2775599128540307,3.611340537553419,0.0031180611246875664,0.03710116245474349,0.031043310188865778,358/947/1281/3346/3347/5581/7035/7042,8
M2,GO:0003279,cardiac septum development,4/102,111/18805,0.036036036036036036,6.643702526055467,4.403966988276031,0.003134639215149557,0.03710116245474349,0.031043310188865778,653/3209/182/7042,4
M2,GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,4/102,111/18805,0.036036036036036036,6.643702526055467,4.403966988276031,0.003134639215149557,0.03710116245474349,0.031043310188865778,653/1003/255743/7042,4
M2,GO:0031214,biomineral tissue development,5/102,182/18805,0.027472527472527472,5.064910579616462,4.069409915427155,0.003140811153998082,0.03710116245474349,0.031043310188865778,1277/3346/3347/4208/340419,5
M2,GO:0038145,macrophage colony-stimulating factor signaling pathway,3/102,54/18805,0.05555555555555555,10.242374727668844,5.022706557248715,0.0031444816724431547,0.03710116245474349,0.031043310188865778,2321/4916/7010,3
M2,GO:0043534,blood vessel endothelial cell migration,5/102,183/18805,0.0273224043715847,5.037233472624022,4.0528993562230085,0.0032153738480591365,0.03771444384135246,0.031556455412840446,1003/54567/4208/27286/7424,5
M2,GO:1901890,positive regulation of cell junction assembly,4/102,112/18805,0.03571428571428571,6.5843837535014,4.377380848476786,0.0032373854415545383,0.037750564739530694,0.031586678515629074,84525/84189/27286/7010,4
M2,GO:0031547,brain-derived neurotrophic factor receptor signaling pathway,3/102,55/18805,0.05454545454545454,10.056149732620321,4.9669967218686475,0.003312913343748721,0.03818467749962399,0.03194990964308928,2321/4916/7010,3
M2,GO:0035790,platelet-derived growth factor receptor-alpha signaling pathway,3/102,55/18805,0.05454545454545454,10.056149732620321,4.9669967218686475,0.003312913343748721,0.03818467749962399,0.03194990964308928,2321/4916/7010,3
M2,GO:0070482,response to oxygen levels,7/102,358/18805,0.019553072625698324,3.6048581443750685,3.6747879793273506,0.003362896727136873,0.03853802341328118,0.032245561479201115,358/1277/10800/5581/7010/7042/7424,7
M2,GO:0048568,embryonic organ development,8/102,457/18805,0.0175054704595186,3.2273565881494832,3.5597791530407346,0.0034238544829450863,0.0390123762228143,0.032642462288529094,8854/653/3207/3205/4208/51294/84189/7042,8
M2,GO:0010761,fibroblast migration,3/102,56/18805,0.05357142857142857,9.8765756302521,4.912697088935379,0.003486778048738515,0.03950361039309431,0.033053488081642025,59/358/5581,3
M2,GO:0070254,mucus secretion,2/102,17/18805,0.11764705882352941,21.68973471741638,6.302439383443852,0.003757203596093052,0.04162146650338636,0.03482554210413736,55107/5581,2
M2,GO:0072109,glomerular mesangium development,2/102,17/18805,0.11764705882352941,21.68973471741638,6.302439383443852,0.003757203596093052,0.04162146650338636,0.03482554210413736,59/947,2
M2,GO:0072224,metanephric glomerulus development,2/102,17/18805,0.11764705882352941,21.68973471741638,6.302439383443852,0.003757203596093052,0.04162146650338636,0.03482554210413736,358/947,2
M2,GO:2001212,regulation of vasculogenesis,2/102,17/18805,0.11764705882352941,21.68973471741638,6.302439383443852,0.003757203596093052,0.04162146650338636,0.03482554210413736,947/55273,2
M2,GO:0043010,camera-type eye development,7/102,366/18805,0.01912568306010929,3.5260634308368157,3.6040074700767266,0.0037954798367523714,0.04181318670985762,0.03498595836727252,8854/358/54567/2321/182/84189/7042,7
M2,GO:0007517,muscle organ development,7/102,369/18805,0.018970189701897018,3.4973962484722887,3.577971348781004,0.003968181301195126,0.043475568761445496,0.03637690782182924,70/1281/1293/54567/4208/219537/7042,7
M2,GO:0003018,vascular process in circulatory system,6/102,278/18805,0.02158273381294964,3.9790520524756667,3.6954515185576864,0.00407580887296353,0.04416936354722434,0.03695742027258122,59/1003/10800/83483/219537/7010,6
M2,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,6/102,278/18805,0.02158273381294964,3.9790520524756667,3.6954515185576864,0.00407580887296353,0.04416936354722434,0.03695742027258122,2321/3082/4916/7010/7042/55273,6
M2,GO:0032355,response to estradiol,4/102,120/18805,0.03333333333333333,6.145424836601308,4.175753757987344,0.0041432476811765805,0.044472853472788516,0.03721135657201595,8854/1277/1393/5737,4
M2,GO:1905209,positive regulation of cardiocyte differentiation,2/102,18/18805,0.1111111111111111,20.48474945533769,6.107618907220402,0.0042119592467924185,0.044472853472788516,0.03721135657201595,4208/7042,2
