Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M0,GO:0036294,cellular response to decreased oxygen levels,5/51,163/18805,0.03067484662576687,11.310597858775411,6.894371038392347,7.832637903786888e-5,0.004050802131894952,0.0026558902866562714,10449/10370/2353/57142/7009,5
M0,GO:1902992,negative regulation of amyloid precursor protein catabolic process,3/51,31/18805,0.0967741935483871,35.6831119544592,10.07821807285319,8.006393102570149e-5,0.004050802131894952,0.0026558902866562714,348/1191/57142,3
M0,GO:0120254,olefinic compound metabolic process,5/51,165/18805,0.030303030303030304,11.173499702911467,6.844672109396149,8.297556860211042e-5,0.0040876385374513345,0.0026800419110820156,174/216/1601/1958/2950,5
M0,GO:2000649,regulation of sodium ion transmembrane transporter activity,3/51,32/18805,0.09375,34.568014705882355,9.910534080605602,8.817766000151409e-5,0.004232527680072676,0.0027750378289275422,288/481/486,3
M0,GO:0006694,steroid biosynthetic process,5/51,169/18805,0.029585798816568046,10.909038171481608,6.747793075930907,9.290982451510135e-5,0.004238194801905329,0.0027787534519914613,10449/348/1601/1958/3490,5
M0,GO:0050810,regulation of steroid biosynthetic process,4/51,88/18805,0.045454545454545456,16.760249554367203,7.727687643305138,9.458522510864067e-5,0.004238194801905329,0.0027787534519914613,348/1601/1958/3490,4
M0,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,7/51,399/18805,0.017543859649122806,6.468868249054007,5.7579442200719475,9.508770388890163e-5,0.004238194801905329,0.0027787534519914613,10370/1601/1958/2353/3280/3397/3725,7
M0,GO:0048710,regulation of astrocyte differentiation,3/51,34/18805,0.08823529411764706,32.53460207612457,9.597240151963138,1.0597613005079286e-4,0.004613658498955448,0.0030249245444118602,3280/3398/3400,3
M0,GO:0034249,negative regulation of amide metabolic process,3/51,35/18805,0.08571428571428572,31.605042016806724,9.450572527346406,1.1569005325897576e-4,0.004877760063133643,0.0031980815528642754,348/1191/57142,3
M0,GO:0001656,metanephros development,4/51,93/18805,0.043010752688172046,15.859160868648535,7.490984662066404,1.172538476714818e-4,0.004877760063133643,0.0031980815528642754,1958/3280/3399/7849,4
M0,GO:0071453,cellular response to oxygen levels,5/51,179/18805,0.027932960893854747,10.29959469821448,6.519195287744513,1.2176243479639403e-4,0.004955201694322818,0.003248855811729873,10449/10370/2353/57142/7009,5
M0,GO:0010765,positive regulation of sodium ion transport,3/51,36/18805,0.08333333333333333,30.727124183006534,9.309938970727757,1.2596635241563498e-4,0.005017213015363164,0.003289513256811431,288/481/486,3
M0,GO:0021799,cerebral cortex radially oriented cell migration,3/51,37/18805,0.08108108108108109,29.896661367249603,9.174930574869686,1.3681931314002275e-4,0.0053359532124608875,0.0034984938403786517,3912/57142/23224,3
